SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
452080956,-0.026288,0.245212,0.084857,-0.175325,-0.086832,0.318399,1
452114290,0.06773,0.188854,0.155535,-0.373022,-0.207411,0.254557,1
452147624,0.145406,0.155797,0.141042,-0.577413,-0.321269,0.152328,1
452180958,0.075547,0.134431,0.107228,-0.713474,-0.42306,0.04501,1
452214292,0.043616,0.096152,0.089617,-0.789372,-0.49804,-0.049726,1
452247626,-0.053465,0.368189,0.150926,-0.830621,-0.509512,-0.133864,1
452280960,-0.300892,0.143328,0.085424,-0.708602,-0.45396,-0.06763,1
452314294,-0.225691,0.256728,0.135759,-0.488405,-0.320255,0.005782,1
452347628,-0.307028,0.382269,0.122331,-0.303939,-0.175202,0.066608,1
452380962,-0.366716,0.394378,0.113668,-0.083159,-0.019893,0.117628,1
452414296,-0.363104,0.285923,0.104331,0.118249,0.097934,0.199615,1
452447630,-0.439025,0.105468,0.07806,0.284763,0.217224,0.245031,1
452480964,-0.42553,-0.082208,0.110093,0.362301,0.372079,0.327075,1
452514298,-0.238157,-0.191611,0.088794,0.548791,0.413097,0.396417,1
452547632,-0.03559,-0.167136,0.105538,0.694005,0.476579,0.377699,1
452580966,0.010497,-0.077247,0.127004,0.707359,0.503402,0.37543,1
452614300,0.103655,-0.000519,0.153225,0.625303,0.472388,0.412278,1
452647634,0.163473,0.007462,0.167182,0.44613,0.38608,0.384381,1
452680968,0.127498,0.057496,0.201427,0.250607,0.299503,0.303656,1
452714302,0.02304,0.089552,0.101133,0.105858,0.19276,0.295159,1
452747636,0.105499,0.12632,0.132969,-0.096865,0.076513,0.243118,1
452780970,0.153205,0.142937,0.213974,-0.320522,-0.040045,0.172978,1
452814304,0.125448,0.234492,0.110497,-0.53941,-0.163301,0.151423,1
452847638,0.06559,0.083381,0.35855,-0.705101,-0.259243,0.099799,1
452880972,0.45753,0.180474,0.137912,-0.876712,-0.335971,-0.000493,1
452914306,0.211247,0.265734,0.220574,-0.975609,-0.38974,-0.030142,1
452947640,0.117371,0.121354,0.194958,-0.958852,-0.419868,0.028989,1
452980974,0.008477,0.186005,-0.039311,-0.962451,-0.43047,0.072997,1
453014308,-0.032115,0.158202,-0.143749,-0.836791,-0.404746,0.007075,1
453047642,-0.118576,0.056128,0.066228,-0.618409,-0.295844,0.02349,1
453080976,-0.055741,0.063533,0.041931,-0.427161,-0.196864,0.070007,1
453114310,0.134642,0.16642,-0.060863,-0.215717,-0.092311,0.146975,1
453147644,-0.044028,-0.057697,0.140453,-0.081949,-0.003434,0.101838,1
453180978,-0.303486,-0.248742,0.220304,0.001274,0.058312,0.243563,1
453214312,-0.369095,-0.076115,-0.036622,0.126847,0.052317,0.304845,1
453247646,-0.4386,-0.070489,-0.136916,0.185757,0.104259,0.158966,1
453280980,-0.427089,0.010992,-0.042329,0.322149,0.10678,0.045448,1
453314314,-0.370884,0.106994,-0.029942,0.447248,0.060137,0.025771,1
453347648,-0.063888,0.180467,0.149588,0.487452,0.025418,0.081494,1
453380982,0.162278,0.258109,0.199619,0.490794,-0.028017,0.142732,1
453414316,0.231313,0.247292,0.178486,0.511682,-0.117008,0.202843,1
453447650,0.25449,0.209761,0.160374,0.482752,-0.144655,0.276674,1
453480984,0.247854,0.30788,0.220108,0.34987,-0.15273,0.287738,1
453514318,0.132605,0.433462,0.256473,0.183228,-0.13356,0.355374,1
453547652,0.031918,0.224572,0.110953,0.010987,-0.101578,0.395723,1
453580986,-0.268019,0.099711,0.230662,-0.096361,-0.081289,0.345496,1
453614320,-0.488792,0.018759,0.204329,-0.279968,-0.109858,0.332455,1
453647654,-0.222086,-0.139339,0.196743,-0.448241,-0.069121,0.268319,1
453680988,0.047409,-0.334795,0.505954,-0.436631,-0.00333,0.156803,1
453714322,0.661839,-0.691614,0.68443,-0.468069,0.030023,0.111761,1
453747656,0.505862,0.154996,0.697314,-0.484125,0.019808,0.163625,1
453780990,-0.156658,0.30159,-1.244695,-0.45384,-0.002256,0.100155,1
453814324,-2.754001,-0.161613,-1.499837,-0.489869,-0.080483,-0.093165,1
453847658,-1.614069,-0.46342,-0.409041,-0.420535,0.009914,-0.259008,1
453880992,0.850163,0.010179,0.203701,-0.171644,0.135285,-0.086805,1
453914326,0.637964,-0.68596,-0.225363,0.117997,-0.2062,0.058385,1
453947660,0.510526,-1.858918,1.235806,0.331225,-0.667313,0.339742,1
453980994,1.891004,-2.431168,0.97973,1.400544,-1.761885,1.26997,1
454014328,1.349886,0.183117,-0.027913,2.092221,-0.869451,1.656002,1
454047662,-0.226218,1.29214,-0.330596,3.312881,-0.788163,2.13833,1
454080996,-1.063754,1.235603,-0.399557,7.211862,-1.070117,5.757703,1
454114330,-1.621595,1.30669,-0.631989,7.271945,-1.161217,7.869387,1
454147664,-1.109346,3.498514,0.028704,3.946286,-0.247441,7.636951,1
454180998,-0.096585,1.626036,0.598053,1.636282,0.215771,7.679893,1
454214332,1.036891,-0.647063,0.523607,-0.285068,1.19715,7.245993,1
454247666,0.786186,-0.595024,-0.12456,-3.468669,2.341466,6.247784,1
454281000,0.604878,-1.213035,0.460534,-5.621221,2.621996,0.30719,1
454314334,0.708428,-0.656744,0.207411,-5.376593,1.554286,-4.197164,1
454347668,0.094608,0.585685,0.057611,-4.639661,0.630908,-6.921247,1
454381002,-0.155851,0.741487,0.136046,-2.943482,-1.325131,-9.152471,1
454414336,-0.289937,0.612503,0.014405,-1.711747,-1.511312,-8.847643,1
454447670,-0.193963,0.441044,-0.037165,-0.934834,-0.867243,-8.233521,1
454481004,-0.099762,0.166855,-0.204863,-1.177373,-0.532745,-5.758386,1
454514338,-0.075494,-0.042474,-0.032254,-1.02387,-0.349331,-3.58512,1
454547672,-0.063627,0.172012,0.060428,-0.74503,-0.353278,-1.047884,1
454581006,-0.081718,0.306357,0.162322,-0.3652,-0.467719,0.391914,1
454614340,0.054374,0.300454,0.245993,-0.320915,-0.704004,0.144524,1
454647674,0.287016,0.162937,0.178944,-0.250367,-1.136188,0.299043,1
454681008,0.23891,0.130262,0.272902,-0.098288,-1.768506,0.155939,1
454714342,0.264304,-0.162016,0.189404,0.017395,-0.830896,-0.592973,1
454747676,0.351694,-0.041112,0.096916,-0.447912,-0.233336,0.157071,1
454781010,0.167794,0.122718,0.081938,-0.376979,-0.236652,0.319286,1
454814344,0.048465,0.448863,0.129518,-0.372242,0.183369,0.238841,1
454847678,0.163959,0.400366,0.208822,0.216177,0.36229,-0.479315,1
454881012,0.412823,0.419808,0.172049,-0.21971,-0.083267,0.271986,1
454914346,0.455142,0.218768,0.200392,0.018893,-0.408203,0.419148,1
454947680,0.274463,-0.046888,0.108725,0.015912,0.048761,0.515864,1
454981014,0.046802,-0.152943,0.11273,-0.05781,0.053038,0.553138,1
